Sector,Years of Operation,How Much They Raised,Giants,No Budget,Competition,Poor Market Fit,Acquisition Stagnation,Platform Dependency,Monetization Failure,Niche Limits,Execution Flaws,Trend Shifts,Toxicity/Trust Issues,Regulatory Pressure,Overhype,Security Risk,Tech Debt,failure,domain,week,startup_id
Mixed,5.0,35.0,0.5,0.1,0.95,0.2,0.1,0.1,0.1,0.3,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0,financial,12,791
Mixed,5.0,2.2,0.5,0.5,0.62,0.2,0.8,0.1,0.5,0.3,0.6,0.1,0.0,0.1,0.1,0.0,0.0,1,financial,1,792
Mixed,5.0,2.23,0.5,0.5,1.18,0.2,0.1,0.1,0.1,0.3,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0,financial,5,793
Mixed,5.0,0.0,0.5,1.0,0.74,0.2,0.1,0.1,0.1,0.3,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0,financial,5,794
Mixed,5.0,49.0,0.5,0.1,0.88,0.2,0.1,0.1,0.1,0.3,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0,financial,6,795
Mixed,5.0,0.3,0.5,1.0,1.2,0.2,0.1,0.1,0.1,0.3,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0,financial,3,796
Mixed,5.0,0.03,0.5,1.0,1.09,0.2,0.1,0.1,0.1,0.3,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0,financial,5,797
Mixed,5.0,6.77,0.5,0.1,0.46,0.2,0.1,0.1,0.1,0.3,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0,financial,7,798
Mixed,5.0,0.01,0.5,1.0,0.9,0.2,0.1,0.1,0.1,0.3,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0,financial,5,799
Mixed,5.0,8.73,0.5,0.1,1.16,0.2,0.1,0.1,0.1,0.3,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0,financial,5,800
Mixed,5.0,0.0,0.5,1.0,0.67,0.2,0.1,0.1,0.1,0.3,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0,financial,5,801
Mixed,5.0,0.25,0.5,1.0,0.44,0.2,0.1,0.1,0.1,0.3,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0,financial,10,802
Mixed,5.0,10.02,0.5,0.1,0.58,0.2,0.1,0.1,0.1,0.3,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0,financial,10,803
Mixed,5.0,20.0,0.5,0.1,0.95,0.2,0.1,0.1,0.1,0.3,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0,financial,3,804
Mixed,5.0,11.63,0.5,0.1,0.55,0.2,0.1,0.1,0.1,0.3,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0,financial,1,805
Mixed,5.0,5.0,0.5,0.1,0.83,0.2,0.1,0.1,0.1,0.3,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0,financial,5,806
Mixed,5.0,251.0,0.5,0.1,0.67,0.2,0.1,0.1,0.1,0.3,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0,financial,9,807
Mixed,5.0,0.0,0.5,1.0,0.92,0.2,0.1,0.1,0.1,0.3,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0,financial,1,808
Mixed,5.0,2.0,0.5,0.5,0.61,0.2,0.1,0.1,0.1,0.3,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0,financial,3,809
Mixed,5.0,0.0,0.5,1.0,0.85,0.2,0.1,0.1,0.1,0.3,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0,financial,4,810
Mixed,5.0,0.0,0.5,1.0,1.09,1.0,0.8,0.1,0.5,0.3,0.6,0.1,0.0,0.1,0.1,0.0,0.0,1,financial,1,811
Mixed,5.0,1.5,0.5,0.5,0.46,0.2,0.1,0.1,0.1,0.3,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0,financial,1,812
Mixed,5.0,0.25,0.5,1.0,0.6,0.2,0.1,0.1,0.1,0.3,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0,financial,8,813
Mixed,5.0,6.08,0.5,0.1,0.61,0.2,0.1,0.1,0.1,0.3,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0,financial,2,814
Mixed,5.0,1.0,0.5,0.5,0.82,0.2,0.1,0.1,0.1,0.3,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0,financial,12,815
Mixed,5.0,0.52,0.5,1.0,0.62,0.2,0.1,0.1,0.1,0.3,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0,financial,8,816
Mixed,5.0,18.3,0.5,0.1,1.09,0.2,0.1,0.1,0.1,0.3,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0,financial,7,817
Mixed,5.0,0.1,0.5,1.0,0.67,0.2,0.1,0.1,0.1,0.3,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0,financial,10,818
Mixed,5.0,0.0,0.5,1.0,0.65,1.0,0.8,0.1,0.5,0.3,0.6,0.1,0.0,0.1,0.1,0.0,0.0,1,financial,10,819
Mixed,5.0,0.28,0.5,1.0,1.06,0.2,0.1,0.1,0.1,0.3,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0,financial,2,820
Mixed,5.0,0.0,0.5,1.0,1.16,0.2,0.1,0.1,0.1,0.3,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0,financial,6,821
Mixed,5.0,5.74,0.5,0.1,0.57,0.2,0.1,0.1,0.1,0.3,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0,financial,6,822
Mixed,5.0,4.2,0.5,0.5,1.05,0.2,0.1,0.1,0.1,0.3,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0,financial,3,823
Mixed,5.0,4.1,0.5,0.5,0.44,0.2,0.1,0.1,0.1,0.3,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0,financial,11,824
Mixed,5.0,22.0,0.5,0.1,0.64,0.2,0.1,0.1,0.1,0.3,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0,financial,2,825
Mixed,5.0,0.18,0.5,1.0,0.5,0.2,0.1,0.1,0.1,0.3,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0,financial,12,826
Mixed,5.0,6.5,0.5,0.1,1.11,0.2,0.1,0.1,0.1,0.3,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0,financial,1,827
Mixed,5.0,0.0,0.5,1.0,0.75,0.2,0.1,0.1,0.1,0.3,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0,financial,6,828
Mixed,5.0,6.59,0.5,0.1,1.17,0.2,0.8,0.1,0.5,0.3,0.1,0.1,0.0,0.1,0.1,0.0,0.0,1,financial,12,829
Mixed,5.0,0.0,0.5,1.0,1.18,0.2,0.1,0.1,0.1,0.3,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0,financial,5,830
Mixed,5.0,0.0,0.5,1.0,0.81,1.0,0.8,0.1,0.5,0.3,0.6,0.1,0.0,0.1,0.1,0.0,0.0,1,financial,11,831
Mixed,5.0,11.19,0.5,0.1,0.79,0.2,0.1,0.1,0.1,0.3,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0,financial,9,832
Mixed,5.0,7.0,0.5,0.1,1.15,0.2,0.1,0.1,0.1,0.3,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0,financial,1,833
Mixed,5.0,6.5,0.5,0.1,1.18,0.2,0.1,0.1,0.1,0.3,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0,financial,7,834
Mixed,5.0,3.88,0.5,0.5,0.96,0.2,0.8,0.1,0.5,0.3,0.1,0.1,0.0,0.1,0.1,0.0,0.0,1,financial,5,835
Mixed,5.0,0.0,0.5,1.0,1.2,0.2,0.1,0.1,0.1,0.3,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0,financial,5,836
Mixed,5.0,4.23,0.5,0.5,1.17,0.2,0.1,0.1,0.1,0.3,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0,financial,2,837
Mixed,5.0,0.62,0.5,1.0,0.91,0.2,0.1,0.1,0.1,0.3,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0,financial,11,838
Mixed,5.0,4.55,0.5,0.5,0.72,0.2,0.1,0.1,0.1,0.3,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0,financial,3,839
Mixed,5.0,1.68,0.5,0.5,0.42,0.2,0.1,0.1,0.1,0.3,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0,financial,7,840
Mixed,5.0,0.08,0.5,1.0,0.74,0.2,0.1,0.1,0.1,0.3,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0,financial,6,841
Mixed,5.0,0.02,0.5,1.0,1.07,0.2,0.1,0.1,0.1,0.3,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0,financial,12,842
Mixed,5.0,25.85,0.5,0.1,0.96,0.2,0.1,0.1,0.1,0.3,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0,financial,2,843
Mixed,5.0,106.0,0.5,0.1,0.51,0.2,0.1,0.1,0.1,0.3,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0,financial,6,844
Mixed,5.0,6.0,0.5,0.1,0.44,0.2,0.1,0.1,0.1,0.3,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0,financial,2,845
Mixed,5.0,0.0,0.5,1.0,0.55,0.2,0.1,0.1,0.1,0.3,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0,financial,2,846
Mixed,5.0,2.75,0.5,0.5,1.0,0.2,0.1,0.1,0.1,0.3,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0,financial,2,847
Mixed,5.0,25.0,0.5,0.1,0.71,0.2,0.1,0.1,0.1,0.3,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0,financial,11,848
Mixed,5.0,11.17,0.5,0.1,0.79,0.2,0.1,0.1,0.1,0.3,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0,financial,3,849
Mixed,5.0,0.0,0.5,1.0,1.05,0.2,0.1,0.1,0.1,0.3,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0,financial,2,850
Mixed,5.0,0.0,0.5,1.0,0.63,0.2,0.1,0.1,0.1,0.3,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0,financial,4,851
Mixed,5.0,0.14,0.5,1.0,1.11,0.2,0.1,0.1,0.1,0.3,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0,financial,9,852
Mixed,5.0,0.0,0.5,1.0,0.8,0.2,0.1,0.1,0.1,0.3,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0,financial,6,853
Mixed,5.0,0.0,0.5,1.0,0.44,0.2,0.1,0.1,0.1,0.3,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0,financial,1,854
Mixed,5.0,1.11,0.5,0.5,0.5,0.2,0.1,0.1,0.1,0.3,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0,financial,8,855
Mixed,5.0,0.01,0.5,1.0,0.74,0.2,0.1,0.1,0.1,0.3,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0,financial,12,856
Mixed,5.0,1.5,0.5,0.5,0.79,0.2,0.1,0.1,0.1,0.3,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0,financial,7,857
Mixed,5.0,17.2,0.5,0.1,0.93,0.2,0.1,0.1,0.1,0.3,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0,financial,10,858
Mixed,5.0,0.63,0.5,1.0,0.87,0.2,0.1,0.1,0.1,0.3,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0,financial,3,859
Mixed,5.0,1.0,0.5,0.5,0.5,0.2,0.1,0.1,0.1,0.3,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0,financial,1,860
Mixed,5.0,7.89,0.5,0.1,0.61,0.2,0.1,0.1,0.1,0.3,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0,financial,5,861
Mixed,5.0,0.46,0.5,1.0,0.92,0.2,0.1,0.1,0.1,0.3,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0,financial,4,862
Mixed,5.0,0.0,0.5,1.0,1.13,0.2,0.1,0.1,0.1,0.3,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0,financial,10,863
Mixed,5.0,4.9,0.5,0.5,0.7,0.2,0.1,0.1,0.1,0.3,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0,financial,8,864
Mixed,5.0,2.03,0.5,0.5,0.68,0.2,0.1,0.1,0.1,0.3,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0,financial,1,865
Mixed,5.0,0.0,0.5,1.0,0.53,0.2,0.1,0.1,0.1,0.3,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0,financial,10,866
Mixed,5.0,0.03,0.5,1.0,1.04,0.2,0.1,0.1,0.1,0.3,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0,financial,1,867
Mixed,5.0,0.0,0.5,1.0,1.17,0.2,0.1,0.1,0.1,0.3,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0,financial,12,868
Mixed,5.0,2.57,0.5,0.5,0.73,0.2,0.1,0.1,0.1,0.3,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0,financial,4,869
Mixed,5.0,0.01,0.5,1.0,0.76,0.2,0.1,0.1,0.1,0.3,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0,financial,8,870
Mixed,5.0,22.06,0.5,0.1,0.95,0.2,0.1,0.1,0.1,0.3,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0,financial,5,871
Mixed,5.0,0.0,0.5,1.0,0.82,0.2,0.1,0.1,0.1,0.3,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0,financial,2,872
Mixed,5.0,0.0,0.5,1.0,0.92,0.2,0.1,0.1,0.1,0.3,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0,financial,6,873
Mixed,5.0,4.75,0.5,0.5,0.79,0.2,0.1,0.1,0.1,0.3,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0,financial,5,874
Mixed,5.0,0.07,0.5,1.0,0.91,1.0,0.8,0.1,0.5,0.3,0.1,0.1,0.0,0.1,0.1,0.0,0.0,1,financial,2,875
Mixed,5.0,0.0,0.5,1.0,0.56,0.2,0.1,0.1,0.1,0.3,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0,financial,11,876
Mixed,5.0,5.82,0.5,0.1,0.99,0.2,0.1,0.1,0.1,0.3,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0,financial,11,877
Mixed,5.0,11.12,0.5,0.1,1.0,0.2,0.1,0.1,0.1,0.3,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0,financial,11,878
Mixed,5.0,23.04,0.5,0.1,1.15,0.2,0.1,0.1,0.1,0.3,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0,financial,3,879
Mixed,5.0,1.72,0.5,0.5,1.19,0.2,0.1,0.1,0.1,0.3,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0,financial,9,880
Mixed,5.0,10.0,0.5,0.1,1.11,0.2,0.1,0.1,0.1,0.3,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0,financial,7,881
Mixed,5.0,3.75,0.5,0.5,0.46,0.2,0.1,0.1,0.1,0.3,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0,financial,7,882
Mixed,5.0,96.7,0.5,0.1,0.56,0.2,0.1,0.1,0.1,0.3,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0,financial,11,883
Mixed,5.0,4.53,0.5,0.5,0.64,0.2,0.1,0.1,0.1,0.3,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0,financial,6,884
Mixed,5.0,144.5,0.5,0.1,0.68,0.2,0.1,0.1,0.1,0.3,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0,financial,8,885
Mixed,5.0,10.49,0.5,0.1,1.17,0.2,0.1,0.1,0.1,0.3,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0,financial,4,886
Mixed,5.0,40.0,0.5,0.1,0.8,0.2,0.8,0.1,0.5,0.3,0.6,0.1,0.0,0.1,0.1,0.0,0.0,1,financial,8,887
Mixed,5.0,0.65,0.5,1.0,0.61,0.2,0.1,0.1,0.1,0.3,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0,financial,4,888
Mixed,5.0,0.0,0.5,1.0,0.66,0.2,0.1,0.1,0.1,0.3,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0,financial,8,889
Mixed,5.0,0.03,0.5,1.0,0.49,0.2,0.1,0.1,0.1,0.3,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0,financial,9,890
Mixed,5.0,8.3,0.5,0.1,1.0,0.2,0.1,0.1,0.1,0.3,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0,financial,3,891
Mixed,5.0,0.21,0.5,1.0,0.41,0.2,0.1,0.1,0.1,0.3,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0,financial,3,892
Mixed,5.0,0.47,0.5,1.0,0.76,0.2,0.1,0.1,0.1,0.3,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0,financial,11,893
Mixed,5.0,10.6,0.5,0.1,1.05,0.2,0.1,0.1,0.1,0.3,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0,financial,2,894
Mixed,5.0,0.33,0.5,1.0,0.46,0.2,0.1,0.1,0.1,0.3,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0,financial,10,895
Mixed,5.0,1.95,0.5,0.5,0.5,0.2,0.1,0.1,0.1,0.3,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0,financial,3,896
Mixed,5.0,0.0,0.5,1.0,0.98,0.2,0.1,0.1,0.1,0.3,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0,financial,3,897
Mixed,5.0,32.0,0.5,0.1,0.66,0.2,0.1,0.1,0.1,0.3,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0,financial,5,898
Mixed,5.0,8.0,0.5,0.1,1.03,0.2,0.1,0.1,0.1,0.3,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0,financial,5,899
Mixed,5.0,1.73,0.5,0.5,0.95,0.2,0.1,0.1,0.1,0.3,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0,financial,2,900
Mixed,5.0,0.1,0.5,1.0,0.42,0.2,0.1,0.1,0.1,0.3,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0,financial,12,901
Mixed,5.0,1.02,0.5,0.5,0.5,0.2,0.1,0.1,0.1,0.3,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0,financial,10,902
Mixed,5.0,0.05,0.5,1.0,0.81,0.2,0.1,0.1,0.1,0.3,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0,financial,6,903
Mixed,5.0,5.5,0.5,0.1,1.03,0.2,0.1,0.1,0.1,0.3,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0,financial,5,904
Mixed,5.0,1.6,0.5,0.5,0.82,1.0,0.8,0.1,0.5,0.3,0.1,0.1,0.0,0.1,0.1,0.0,0.0,1,financial,6,905
Mixed,5.0,16.0,0.5,0.1,0.65,0.2,0.1,0.1,0.1,0.3,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0,financial,1,906
Mixed,5.0,0.0,0.5,1.0,0.78,0.2,0.1,0.1,0.1,0.3,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0,financial,5,907
Mixed,5.0,0.0,0.5,1.0,1.13,0.2,0.1,0.1,0.1,0.3,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0,financial,9,908
Mixed,5.0,9.4,0.5,0.1,0.7,0.2,0.1,0.1,0.1,0.3,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0,financial,12,909
Mixed,5.0,14.84,0.5,0.1,0.99,0.2,0.8,0.1,0.5,0.3,0.6,0.1,0.0,0.1,0.1,0.0,0.0,1,financial,10,910
Mixed,5.0,0.52,0.5,1.0,0.78,0.2,0.1,0.1,0.1,0.3,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0,financial,2,911
Mixed,5.0,4.58,0.5,0.5,1.2,0.2,0.1,0.1,0.1,0.3,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0,financial,1,912
Mixed,5.0,3.22,0.5,0.5,0.48,0.2,0.1,0.1,0.1,0.3,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0,financial,10,913
Mixed,5.0,0.15,0.5,1.0,0.77,0.2,0.1,0.1,0.1,0.3,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0,financial,11,914
Mixed,5.0,0.81,0.5,1.0,0.94,0.2,0.1,0.1,0.1,0.3,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0,financial,9,915
Mixed,5.0,11.05,0.5,0.1,1.01,0.2,0.1,0.1,0.1,0.3,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0,financial,10,916
Mixed,5.0,0.39,0.5,1.0,0.7,0.2,0.1,0.1,0.1,0.3,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0,financial,9,917
Mixed,5.0,1.0,0.5,0.5,0.97,0.2,0.1,0.1,0.1,0.3,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0,financial,9,918
Mixed,5.0,1.2,0.5,0.5,0.47,0.2,0.1,0.1,0.1,0.3,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0,financial,6,919
Mixed,5.0,0.0,0.5,1.0,0.5,0.2,0.1,0.1,0.1,0.3,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0,financial,8,920
Mixed,5.0,0.05,0.5,1.0,0.5,0.2,0.1,0.1,0.1,0.3,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0,financial,11,921
Mixed,5.0,15.75,0.5,0.1,1.08,0.2,0.1,0.1,0.1,0.3,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0,financial,1,922
Mixed,5.0,0.0,0.5,1.0,0.62,0.2,0.1,0.1,0.1,0.3,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0,financial,10,923
Mixed,5.0,4.76,0.5,0.5,0.82,0.2,0.1,0.1,0.1,0.3,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0,financial,4,924
Mixed,5.0,0.01,0.5,1.0,0.99,0.2,0.1,0.1,0.1,0.3,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0,financial,1,925
Mixed,5.0,0.17,0.5,1.0,0.44,0.2,0.1,0.1,0.1,0.3,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0,financial,8,926
Mixed,5.0,1.2,0.5,0.5,0.67,1.0,0.8,0.1,0.5,0.3,0.6,0.1,0.0,0.1,0.1,0.0,0.0,1,financial,1,927
Mixed,5.0,0.45,0.5,1.0,0.84,0.2,0.1,0.1,0.1,0.3,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0,financial,3,928
Mixed,5.0,2.8,0.5,0.5,0.87,0.2,0.1,0.1,0.1,0.3,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0,financial,4,929
Mixed,5.0,1.0,0.5,0.5,0.99,0.2,0.1,0.1,0.1,0.3,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0,financial,8,930
Mixed,5.0,185.33,0.5,0.1,0.44,0.2,0.8,0.1,0.5,0.3,0.1,0.1,0.0,0.1,0.1,0.0,0.0,1,financial,6,931
Mixed,5.0,0.13,0.5,1.0,0.75,0.2,0.1,0.1,0.1,0.3,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0,financial,10,932
Mixed,5.0,0.42,0.5,1.0,0.5,0.2,0.1,0.1,0.1,0.3,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0,financial,12,933
Mixed,5.0,7.0,0.5,0.1,0.93,0.2,0.1,0.1,0.1,0.3,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0,financial,7,934
Mixed,5.0,5.0,0.5,0.1,0.59,0.2,0.1,0.1,0.1,0.3,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0,financial,8,935
Mixed,5.0,9.52,0.5,0.1,1.07,0.2,0.1,0.1,0.1,0.3,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0,financial,2,936
Mixed,5.0,0.0,0.5,1.0,1.12,0.2,0.1,0.1,0.1,0.3,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0,financial,10,937
Mixed,5.0,74.4,0.5,0.1,1.17,0.2,0.1,0.1,0.1,0.3,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0,financial,11,938
Mixed,5.0,0.0,0.5,1.0,0.9,0.2,0.1,0.1,0.1,0.3,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0,financial,8,939
Mixed,5.0,2.5,0.5,0.5,0.81,0.2,0.1,0.1,0.1,0.3,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0,financial,3,940
Mixed,5.0,0.1,0.5,1.0,0.68,0.2,0.1,0.1,0.1,0.3,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0,financial,7,941
Mixed,5.0,0.0,0.5,1.0,0.84,0.2,0.1,0.1,0.1,0.3,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0,financial,3,942
Mixed,5.0,44.0,0.5,0.1,0.84,0.2,0.1,0.1,0.1,0.3,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0,financial,7,943
Mixed,5.0,6.5,0.5,0.1,0.92,0.2,0.1,0.1,0.1,0.3,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0,financial,11,944
Mixed,5.0,0.0,0.5,1.0,1.18,0.2,0.1,0.1,0.1,0.3,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0,financial,12,945
Mixed,5.0,0.14,0.5,1.0,0.73,0.2,0.1,0.1,0.1,0.3,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0,financial,2,946
Mixed,5.0,104.09,0.5,0.1,1.04,0.2,0.1,0.1,0.1,0.3,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0,financial,10,947
Mixed,5.0,0.4,0.5,1.0,0.73,0.2,0.1,0.1,0.1,0.3,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0,financial,6,948
Mixed,5.0,8.6,0.5,0.1,0.58,0.2,0.1,0.1,0.1,0.3,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0,financial,3,949
Mixed,5.0,0.3,0.5,1.0,0.67,1.0,0.8,0.1,0.5,0.3,0.6,0.1,0.0,0.1,0.1,0.0,0.0,1,financial,3,950
Mixed,5.0,5.45,0.5,0.1,0.5,0.2,0.1,0.1,0.1,0.3,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0,financial,9,951
Mixed,5.0,0.7,0.5,1.0,0.6,0.2,0.1,0.1,0.1,0.3,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0,financial,7,952
Mixed,5.0,0.23,0.5,1.0,0.63,0.2,0.1,0.1,0.1,0.3,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0,financial,5,953
Mixed,5.0,19.21,0.5,0.1,1.09,0.2,0.1,0.1,0.1,0.3,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0,financial,12,954
Mixed,5.0,0.12,0.5,1.0,0.87,0.2,0.1,0.1,0.1,0.3,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0,financial,10,955
Mixed,5.0,15.0,0.5,0.1,0.81,0.2,0.1,0.1,0.1,0.3,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0,financial,7,956
Mixed,5.0,25.0,0.5,0.1,0.7,0.2,0.1,0.1,0.1,0.3,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0,financial,9,957
Mixed,5.0,0.25,0.5,1.0,1.16,0.2,0.1,0.1,0.1,0.3,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0,financial,1,958
