Sector,Years of Operation,How Much They Raised,Giants,No Budget,Competition,Poor Market Fit,Acquisition Stagnation,Platform Dependency,Monetization Failure,Niche Limits,Execution Flaws,Trend Shifts,Toxicity/Trust Issues,Regulatory Pressure,Overhype,failure,startup_id,week
Finance and Insurance,3127.9,0.0,1.55,0.0,1.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,39,11
Finance and Insurance,3228.8,0.0,1.6,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,39,12
Finance and Insurance,2117.85,0.0,1.05,0.0,1.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,40,1
Finance and Insurance,2218.7000000000003,0.0,1.1,0.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,40,2
Finance and Insurance,2319.5499999999997,0.0,1.15,0.0,1.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,40,3
Finance and Insurance,2420.4,0.0,1.2,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,40,4
Finance and Insurance,2521.25,0.0,1.25,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,40,5
Finance and Insurance,2622.1,0.0,1.3,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,40,6
Finance and Insurance,2722.9500000000003,0.0,1.35,0.0,1.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,40,7
Finance and Insurance,2823.7999999999997,0.0,1.4,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,40,8
Finance and Insurance,2924.65,0.0,1.45,0.0,1.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,40,9
Finance and Insurance,3025.5,0.0,1.5,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,40,10
Finance and Insurance,3126.35,0.0,1.55,0.0,1.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,40,11
Finance and Insurance,3227.2000000000003,0.0,1.6,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,40,12
Finance and Insurance,2108.4,78.75,1.05,0.0,1.05,0.0,1.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,41,1
Finance and Insurance,2208.8,82.5,1.1,0.0,1.1,0.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,41,2
Finance and Insurance,2309.2,86.25,1.15,0.0,1.15,0.0,1.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,41,3
Finance and Insurance,2409.6,90.0,1.2,0.0,1.2,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,41,4
Finance and Insurance,2510.0,93.75,1.25,0.0,1.25,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,41,5
Finance and Insurance,2610.4,97.5,1.3,0.0,1.3,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,41,6
Finance and Insurance,2710.8,101.25,1.35,0.0,1.35,0.0,1.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,41,7
Finance and Insurance,2811.2,105.0,1.4,0.0,1.4,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,41,8
Finance and Insurance,2911.6,108.75,1.45,0.0,1.45,0.0,1.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,41,9
Finance and Insurance,3012.0,112.5,1.5,0.0,1.5,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,41,10
Finance and Insurance,3112.4,116.25,1.55,0.0,1.55,0.0,1.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,41,11
Finance and Insurance,3212.8,120.0,1.6,0.0,1.6,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,41,12
Finance and Insurance,2106.3,4.2,1.05,0.0,1.05,1.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,42,1
Finance and Insurance,2206.6000000000004,4.4,1.1,0.0,1.1,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,42,2
Finance and Insurance,2306.8999999999996,4.6,1.15,0.0,1.15,1.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,42,3
Finance and Insurance,2407.2,4.8,1.2,0.0,1.2,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,42,4
Finance and Insurance,2507.5,5.0,1.25,0.0,1.25,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,42,5
Finance and Insurance,2607.8,5.2,1.3,0.0,1.3,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,42,6
Finance and Insurance,2708.1000000000004,5.4,1.35,0.0,1.35,1.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,42,7
Finance and Insurance,2808.3999999999996,5.6,1.4,0.0,1.4,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,42,8
Finance and Insurance,2908.7,5.8,1.45,0.0,1.45,1.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,42,9
Finance and Insurance,3009.0,6.0,1.5,0.0,1.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,42,10
Finance and Insurance,3109.3,6.2,1.55,0.0,1.55,1.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,42,11
Finance and Insurance,3209.6000000000004,6.4,1.6,0.0,1.6,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,42,12
Finance and Insurance,2111.55,723.45,1.05,1.05,1.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,43,1
Finance and Insurance,2212.1000000000004,757.9000000000001,1.1,1.1,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,43,2
Finance and Insurance,2312.6499999999996,792.3499999999999,1.15,1.15,1.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,43,3
Finance and Insurance,2413.2,826.8,1.2,1.2,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,43,4
Finance and Insurance,2513.75,861.25,1.25,1.25,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,43,5
Finance and Insurance,2614.3,895.7,1.3,1.3,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,43,6
Finance and Insurance,2714.8500000000004,930.1500000000001,1.35,1.35,1.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,43,7
Finance and Insurance,2815.3999999999996,964.5999999999999,1.4,1.4,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,43,8
Finance and Insurance,2915.95,999.05,1.45,1.45,1.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,43,9
Finance and Insurance,3016.5,1033.5,1.5,1.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,43,10
Finance and Insurance,3117.05,1067.95,1.55,1.55,1.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,43,11
Finance and Insurance,3217.6000000000004,1102.4,1.6,1.6,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,43,12
Finance and Insurance,2115.75,15.75,1.05,0.0,1.05,0.0,1.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,44,1
Finance and Insurance,2216.5,16.5,1.1,0.0,1.1,0.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,44,2
Finance and Insurance,2317.25,17.25,1.15,0.0,1.15,0.0,1.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,44,3
Finance and Insurance,2418.0,18.0,1.2,0.0,1.2,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,44,4
Finance and Insurance,2518.75,18.75,1.25,0.0,1.25,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,44,5
Finance and Insurance,2619.5,19.5,1.3,0.0,1.3,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,44,6
Finance and Insurance,2720.25,20.25,1.35,0.0,1.35,0.0,1.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,44,7
Finance and Insurance,2821.0,21.0,1.4,0.0,1.4,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,44,8
Finance and Insurance,2921.75,21.75,1.45,0.0,1.45,0.0,1.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,44,9
Finance and Insurance,3022.5,22.5,1.5,0.0,1.5,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,44,10
Finance and Insurance,3123.25,23.25,1.55,0.0,1.55,0.0,1.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,44,11
Finance and Insurance,3224.0,24.0,1.6,0.0,1.6,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,44,12
Finance and Insurance,2109.4500000000003,15.75,1.05,0.0,1.05,0.0,1.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,45,1
Finance and Insurance,2209.9,16.5,1.1,0.0,1.1,0.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,45,2
Finance and Insurance,2310.35,17.25,1.15,0.0,1.15,0.0,1.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,45,3
Finance and Insurance,2410.7999999999997,18.0,1.2,0.0,1.2,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,45,4
Finance and Insurance,2511.25,18.75,1.25,0.0,1.25,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,45,5
Finance and Insurance,2611.7000000000003,19.5,1.3,0.0,1.3,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,45,6
Finance and Insurance,2712.15,20.25,1.35,0.0,1.35,0.0,1.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,45,7
Finance and Insurance,2812.6,21.0,1.4,0.0,1.4,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,45,8
Finance and Insurance,2913.0499999999997,21.75,1.45,0.0,1.45,0.0,1.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,45,9
Finance and Insurance,3013.5,22.5,1.5,0.0,1.5,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,45,10
Finance and Insurance,3113.9500000000003,23.25,1.55,0.0,1.55,0.0,1.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,45,11
Finance and Insurance,3214.4,24.0,1.6,0.0,1.6,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,45,12
Finance and Insurance,2109.4500000000003,117.60000000000001,1.05,0.0,1.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.05,0.0,1,46,1
Finance and Insurance,2209.9,123.20000000000002,1.1,0.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.0,1,46,2
Finance and Insurance,2310.35,128.79999999999998,1.15,0.0,1.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.15,0.0,1,46,3
Finance and Insurance,2410.7999999999997,134.4,1.2,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,1,46,4
Finance and Insurance,2511.25,140.0,1.25,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.0,1,46,5
Finance and Insurance,2611.7000000000003,145.6,1.3,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,1,46,6
Finance and Insurance,2712.15,151.20000000000002,1.35,0.0,1.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.35,0.0,1,46,7
Finance and Insurance,2812.6,156.79999999999998,1.4,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,1,46,8
Finance and Insurance,2913.0499999999997,162.4,1.45,0.0,1.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.45,0.0,1,46,9
Finance and Insurance,3013.5,168.0,1.5,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,1,46,10
Finance and Insurance,3113.9500000000003,173.6,1.55,0.0,1.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.55,0.0,1,46,11
Finance and Insurance,3214.4,179.20000000000002,1.6,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0,1,46,12
Finance and Insurance,1862.8344638417027,540.2920452745941,0.609558706949709,0.4773770825709828,0.38951188102266054,0.00987004064351776,-0.08939123240964883,-0.17337104864140632,0.15663474110915626,0.1541445741017577,-0.08208532522175654,0.12165040187935511,-0.09663423595777947,-0.09454996466642443,-0.003998329263875049,0,47,1
Finance and Insurance,1951.5408668817838,566.0202379067177,0.6385853120425524,0.5001093245981725,0.40806006583326343,0.010340042578923368,-0.09364795776248926,-0.18162681286242566,0.1640935383048304,0.1614847919161271,-0.0859941502323164,0.1274432781593244,-0.10123586624148324,-0.09905234393625416,-0.004188725895488146,0,47,2
Finance and Insurance,2040.2472699218647,591.7484305388411,0.6676119171353956,0.5228415666253621,0.42660825064386626,0.010810044514328973,-0.09790468311532965,-0.18988257708344497,0.17155233550050447,0.1688250097304965,-0.0899029752428762,0.13323615443929368,-0.10583749652518702,-0.10355472320608389,-0.004379122527101243,0,47,3
Finance and Insurance,2128.953672961946,617.4766231709647,0.6966385222282389,0.5455738086525518,0.4451564354544692,0.011280046449734581,-0.10216140846817008,-0.19813834130446434,0.17901113269617858,0.17616522754486594,-0.09381180025343605,0.13902903071926295,-0.1104391268088908,-0.10805710247591362,-0.0045695191587143405,0,47,4
Finance and Insurance,2217.660076002027,643.2048158030882,0.7256651273210822,0.5683060506797415,0.4637046202650721,0.01175004838514019,-0.10641813382101051,-0.20639410552548368,0.18646992989185268,0.18350544535923535,-0.09772062526399589,0.14482190699923225,-0.11504075709259459,-0.11255948174574336,-0.004759915790327438,0,47,5
Finance and Insurance,2306.366479042108,668.9330084352118,0.7546917324139255,0.5910382927069311,0.482252805075675,0.012220050320545798,-0.11067485917385093,-0.21464986974650305,0.19392872708752681,0.19084566317360477,-0.10162945027455572,0.15061478327920155,-0.11964238737629838,-0.1170618610155731,-0.0049503124219405364,0,47,6
Finance and Insurance,2395.072882082189,694.6612010673354,0.7837183375067689,0.6137705347341208,0.5008009898862779,0.012690052255951406,-0.11493158452669135,-0.2229056339675224,0.20138752428320092,0.19818588098797418,-0.10553827528511557,0.15640765955917085,-0.12424401766000216,-0.12156424028540283,-0.005140709053553634,0,47,7
Finance and Insurance,2483.7792851222703,720.3893936994588,0.812744942599612,0.6365027767613104,0.5193491746968807,0.013160054191357011,-0.11918830987953176,-0.2311613981885417,0.208846321478875,0.20552609880234357,-0.10944710029567538,0.16220053583914013,-0.12884564794370593,-0.12606661955523255,-0.005331105685166731,0,47,8
Finance and Insurance,2572.4856881623514,746.1175863315823,0.8417715476924553,0.6592350187885001,0.5378973595074836,0.01363005612676262,-0.12344503523237219,-0.23941716240956107,0.21630511867454913,0.21286631661671299,-0.11335592530623523,0.16799341211910943,-0.13344727822740973,-0.1305689988250623,-0.005521502316779828,0,47,9
Finance and Insurance,2661.1920912024325,771.8457789637059,0.8707981527852986,0.6819672608156897,0.5564455443180865,0.014100058062168228,-0.1277017605852126,-0.24767292663058044,0.22376391587022323,0.2202065344310824,-0.11726475031679506,0.17378628839907873,-0.1380489085111135,-0.13507137809489203,-0.005711898948392926,0,47,10
Finance and Insurance,2749.8984942425136,797.5739715958294,0.899824757878142,0.7046995028428794,0.5749937291286894,0.014570059997573836,-0.13195848593805304,-0.2559286908515998,0.23122271306589734,0.22754675224545184,-0.1211735753273549,0.179579164679048,-0.1426505387948173,-0.13957375736472177,-0.005902295580006023,0,47,11
Finance and Insurance,2838.6048972825947,823.302164227953,0.9288513629709853,0.7274317448700691,0.5935419139392922,0.015040061932979444,-0.13621521129089345,-0.2641844550726191,0.23868151026157147,0.23488697005982126,-0.12508240033791473,0.1853720409590173,-0.1472521690785211,-0.14407613663455152,-0.006092692211619122,0,47,12
Finance and Insurance,1853.5751265961817,1.5358626090012044,0.609558706949709,0.04797593268459211,0.38951188102266054,0.4313149189676526,-0.08939123240964883,-0.17337104864140632,0.15663474110915626,0.1541445741017577,-0.08208532522175654,0.12165040187935511,-0.09663423595777947,-0.09454996466642443,-0.003998329263875049,0,48,1
Finance and Insurance,1941.8406088150475,1.6089989237155475,0.6385853120425524,0.05026050090766793,0.40806006583326343,0.45185372463277895,-0.09364795776248926,-0.18162681286242566,0.1640935383048304,0.1614847919161271,-0.0859941502323164,0.1274432781593244,-0.10123586624148324,-0.09905234393625416,-0.004188725895488146,0,48,2
Finance and Insurance,2030.1060910339131,1.6821352384298904,0.6676119171353956,0.052545069130743735,0.42660825064386626,0.4723925302979052,-0.09790468311532965,-0.18988257708344497,0.17155233550050447,0.1688250097304965,-0.0899029752428762,0.13323615443929368,-0.10583749652518702,-0.10355472320608389,-0.004379122527101243,0,48,3
Finance and Insurance,2118.371573252779,1.7552715531442336,0.6966385222282389,0.05482963735381955,0.4451564354544692,0.4929313359630315,-0.10216140846817008,-0.19813834130446434,0.17901113269617858,0.17616522754486594,-0.09381180025343605,0.13902903071926295,-0.1104391268088908,-0.10805710247591362,-0.0045695191587143405,0,48,4
Finance and Insurance,2206.637055471645,1.8284078678585767,0.7256651273210822,0.057114205576895366,0.4637046202650721,0.5134701416281579,-0.10641813382101051,-0.20639410552548368,0.18646992989185268,0.18350544535923535,-0.09772062526399589,0.14482190699923225,-0.11504075709259459,-0.11255948174574336,-0.004759915790327438,0,48,5
Finance and Insurance,2294.9025376905106,1.9015441825729198,0.7546917324139255,0.05939877379997119,0.482252805075675,0.5340089472932842,-0.11067485917385093,-0.21464986974650305,0.19392872708752681,0.19084566317360477,-0.10162945027455572,0.15061478327920155,-0.11964238737629838,-0.1170618610155731,-0.0049503124219405364,0,48,6
Finance and Insurance,2383.1680199093767,1.974680497287263,0.7837183375067689,0.061683342023047004,0.5008009898862779,0.5545477529584105,-0.11493158452669135,-0.2229056339675224,0.20138752428320092,0.19818588098797418,-0.10553827528511557,0.15640765955917085,-0.12424401766000216,-0.12156424028540283,-0.005140709053553634,0,48,7
Finance and Insurance,2471.4335021282423,2.0478168120016056,0.812744942599612,0.0639679102461228,0.5193491746968807,0.5750865586235367,-0.11918830987953176,-0.2311613981885417,0.208846321478875,0.20552609880234357,-0.10944710029567538,0.16220053583914013,-0.12884564794370593,-0.12606661955523255,-0.005331105685166731,0,48,8
Finance and Insurance,2559.698984347108,2.120953126715949,0.8417715476924553,0.06625247846919863,0.5378973595074836,0.5956253642886631,-0.12344503523237219,-0.23941716240956107,0.21630511867454913,0.21286631661671299,-0.11335592530623523,0.16799341211910943,-0.13344727822740973,-0.1305689988250623,-0.005521502316779828,0,48,9
Finance and Insurance,2647.964466565974,2.194089441430292,0.8707981527852986,0.06853704669227445,0.5564455443180865,0.6161641699537894,-0.1277017605852126,-0.24767292663058044,0.22376391587022323,0.2202065344310824,-0.11726475031679506,0.17378628839907873,-0.1380489085111135,-0.13507137809489203,-0.005711898948392926,0,48,10
Finance and Insurance,2736.2299487848395,2.267225756144635,0.899824757878142,0.07082161491535026,0.5749937291286894,0.6367029756189158,-0.13195848593805304,-0.2559286908515998,0.23122271306589734,0.22754675224545184,-0.1211735753273549,0.179579164679048,-0.1426505387948173,-0.13957375736472177,-0.005902295580006023,0,48,11
Finance and Insurance,2824.4954310037056,2.340362070858978,0.9288513629709853,0.07310618313842608,0.5935419139392922,0.6572417812840421,-0.13621521129089345,-0.2641844550726191,0.23868151026157147,0.23488697005982126,-0.12508240033791473,0.1853720409590173,-0.1472521690785211,-0.14407613663455152,-0.006092692211619122,0,48,12
Finance and Insurance,1857.2788614943902,2.360910361934731,0.609558706949709,0.04797593268459211,0.38951188102266054,0.00987004064351776,0.618509374584024,-0.17337104864140632,0.15663474110915626,0.1541445741017577,-0.08208532522175654,0.12165040187935511,-0.09663423595777947,-0.09454996466642443,-0.003998329263875049,0,49,1
Finance and Insurance,1945.7207120417422,2.473334664884004,0.6385853120425524,0.05026050090766793,0.40806006583326343,0.010340042578923368,0.647962201945168,-0.18162681286242566,0.1640935383048304,0.1614847919161271,-0.0859941502323164,0.1274432781593244,-0.10123586624148324,-0.09905234393625416,-0.004188725895488146,0,49,2
Finance and Insurance,2034.1625625890938,2.5857589678332764,0.6676119171353956,0.052545069130743735,0.42660825064386626,0.010810044514328973,0.6774150293063118,-0.18988257708344497,0.17155233550050447,0.1688250097304965,-0.0899029752428762,0.13323615443929368,-0.10583749652518702,-0.10355472320608389,-0.004379122527101243,0,49,3
Finance and Insurance,2122.6044131364456,2.6981832707825495,0.6966385222282389,0.05482963735381955,0.4451564354544692,0.011280046449734581,0.7068678566674559,-0.19813834130446434,0.17901113269617858,0.17616522754486594,-0.09381180025343605,0.13902903071926295,-0.1104391268088908,-0.10805710247591362,-0.0045695191587143405,0,49,4
Finance and Insurance,2211.046263683798,2.8106075737318226,0.7256651273210822,0.057114205576895366,0.4637046202650721,0.01175004838514019,0.7363206840285998,-0.20639410552548368,0.18646992989185268,0.18350544535923535,-0.09772062526399589,0.14482190699923225,-0.11504075709259459,-0.11255948174574336,-0.004759915790327438,0,49,5
Finance and Insurance,2299.4881142311497,2.9230318766810957,0.7546917324139255,0.05939877379997119,0.482252805075675,0.012220050320545798,0.7657735113897439,-0.21464986974650305,0.19392872708752681,0.19084566317360477,-0.10162945027455572,0.15061478327920155,-0.11964238737629838,-0.1170618610155731,-0.0049503124219405364,0,49,6
Finance and Insurance,2387.9299647785015,3.0354561796303687,0.7837183375067689,0.061683342023047004,0.5008009898862779,0.012690052255951406,0.795226338750888,-0.2229056339675224,0.20138752428320092,0.19818588098797418,-0.10553827528511557,0.15640765955917085,-0.12424401766000216,-0.12156424028540283,-0.005140709053553634,0,49,7
Finance and Insurance,2476.3718153258533,3.147880482579641,0.812744942599612,0.0639679102461228,0.5193491746968807,0.013160054191357011,0.8246791661120318,-0.2311613981885417,0.208846321478875,0.20552609880234357,-0.10944710029567538,0.16220053583914013,-0.12884564794370593,-0.12606661955523255,-0.005331105685166731,0,49,8
Finance and Insurance,2564.813665873205,3.260304785528914,0.8417715476924553,0.06625247846919863,0.5378973595074836,0.01363005612676262,0.8541319934731758,-0.23941716240956107,0.21630511867454913,0.21286631661671299,-0.11335592530623523,0.16799341211910943,-0.13344727822740973,-0.1305689988250623,-0.005521502316779828,0,49,9
Finance and Insurance,2653.2555164205573,3.372729088478187,0.8707981527852986,0.06853704669227445,0.5564455443180865,0.014100058062168228,0.8835848208343199,-0.24767292663058044,0.22376391587022323,0.2202065344310824,-0.11726475031679506,0.17378628839907873,-0.1380489085111135,-0.13507137809489203,-0.005711898948392926,0,49,10
Finance and Insurance,2741.697366967909,3.48515339142746,0.899824757878142,0.07082161491535026,0.5749937291286894,0.014570059997573836,0.913037648195464,-0.2559286908515998,0.23122271306589734,0.22754675224545184,-0.1211735753273549,0.179579164679048,-0.1426505387948173,-0.13957375736472177,-0.005902295580006023,0,49,11
Finance and Insurance,2830.1392175152614,3.5975776943767332,0.9288513629709853,0.07310618313842608,0.5935419139392922,0.015040061932979444,0.9424904755566079,-0.2641844550726191,0.23868151026157147,0.23488697005982126,-0.12508240033791473,0.1853720409590173,-0.1472521690785211,-0.14407613663455152,-0.006092692211619122,0,49,12
Finance and Insurance,1863.7603975662548,412.40964356989747,0.609558706949709,0.04797593268459211,0.38951188102266054,0.00987004064351776,-0.08939123240964883,-0.17337104864140632,0.15663474110915626,0.1541445741017577,-0.08208532522175654,0.6947839738889393,-0.09663423595777947,-0.09454996466642443,-0.003998329263875049,0,50,1
Finance and Insurance,1952.5108926884575,432.0481980256069,0.6385853120425524,0.05026050090766793,0.40806006583326343,0.010340042578923368,-0.09364795776248926,-0.18162681286242566,0.1640935383048304,0.1614847919161271,-0.0859941502323164,0.7278689250265078,-0.10123586624148324,-0.09905234393625416,-0.004188725895488146,0,50,2
Finance and Insurance,2041.26138781066,451.6867524813162,0.6676119171353956,0.052545069130743735,0.42660825064386626,0.010810044514328973,-0.09790468311532965,-0.18988257708344497,0.17155233550050447,0.1688250097304965,-0.0899029752428762,0.7609538761640763,-0.10583749652518702,-0.10355472320608389,-0.004379122527101243,0,50,3
Finance and Insurance,2130.0118829328626,471.32530693702563,0.6966385222282389,0.05482963735381955,0.4451564354544692,0.011280046449734581,-0.10216140846817008,-0.19813834130446434,0.17901113269617858,0.17616522754486594,-0.09381180025343605,0.7940388273016449,-0.1104391268088908,-0.10805710247591362,-0.0045695191587143405,0,50,4
Finance and Insurance,2218.7623780550653,490.96386139273505,0.7256651273210822,0.057114205576895366,0.4637046202650721,0.01175004838514019,-0.10641813382101051,-0.20639410552548368,0.18646992989185268,0.18350544535923535,-0.09772062526399589,0.8271237784392134,-0.11504075709259459,-0.11255948174574336,-0.004759915790327438,0,50,5
Finance and Insurance,2307.512873177268,510.6024158484445,0.7546917324139255,0.05939877379997119,0.482252805075675,0.012220050320545798,-0.11067485917385093,-0.21464986974650305,0.19392872708752681,0.19084566317360477,-0.10162945027455572,0.860208729576782,-0.11964238737629838,-0.1170618610155731,-0.0049503124219405364,0,50,6
Finance and Insurance,2396.2633682994706,530.2409703041538,0.7837183375067689,0.061683342023047004,0.5008009898862779,0.012690052255951406,-0.11493158452669135,-0.2229056339675224,0.20138752428320092,0.19818588098797418,-0.10553827528511557,0.8932936807143506,-0.12424401766000216,-0.12156424028540283,-0.005140709053553634,0,50,7
Finance and Insurance,2485.013863421673,549.8795247598632,0.812744942599612,0.0639679102461228,0.5193491746968807,0.013160054191357011,-0.11918830987953176,-0.2311613981885417,0.208846321478875,0.20552609880234357,-0.10944710029567538,0.9263786318519189,-0.12884564794370593,-0.12606661955523255,-0.005331105685166731,0,50,8
Finance and Insurance,2573.7643585438755,569.5180792155727,0.8417715476924553,0.06625247846919863,0.5378973595074836,0.01363005612676262,-0.12344503523237219,-0.23941716240956107,0.21630511867454913,0.21286631661671299,-0.11335592530623523,0.9594635829894875,-0.13344727822740973,-0.1305689988250623,-0.005521502316779828,0,50,9
Finance and Insurance,2662.514853666078,589.1566336712821,0.8707981527852986,0.06853704669227445,0.5564455443180865,0.014100058062168228,-0.1277017605852126,-0.24767292663058044,0.22376391587022323,0.2202065344310824,-0.11726475031679506,0.9925485341270561,-0.1380489085111135,-0.13507137809489203,-0.005711898948392926,0,50,10
